X	Hy	Ex	Ez
-6.03e-08	-0.843934	-0.481816	0.492951
-6e-08	-0.849955	-0.485262	0.48395
-5.97e-08	-0.855867	-0.488645	0.474898
-5.94e-08	-0.861669	-0.491966	0.465796
-5.91e-08	-0.86736	-0.495224	0.456645
-5.88e-08	-0.872941	-0.498418	0.447445
-5.85e-08	-0.878409	-0.501547	0.438198
-5.82e-08	-0.883765	-0.504613	0.428904
-5.79e-08	-0.889007	-0.507613	0.419566
-5.76e-08	-0.894135	-0.510549	0.410182
-5.73e-08	-0.899149	-0.513418	0.400756
-5.7e-08	-0.904047	-0.516222	0.391287
-5.67e-08	-0.90883	-0.518959	0.381777
-5.64e-08	-0.913496	-0.52163	0.372226
-5.61e-08	-0.918044	-0.524233	0.362636
-5.58e-08	-0.922475	-0.526769	0.353008
-5.55e-08	-0.926788	-0.529238	0.343343
-5.52e-08	-0.930982	-0.531638	0.333641
-5.49e-08	-0.935056	-0.53397	0.323904
-5.46e-08	-0.939011	-0.536234	0.314132
-5.43e-08	-0.942845	-0.538428	0.304328
-5.4e-08	-0.946558	-0.540554	0.294491
-5.37e-08	-0.95015	-0.542609	0.284623
-5.34e-08	-0.953619	-0.544596	0.274726
-5.31e-08	-0.956967	-0.546512	0.264799
-5.28e-08	-0.960192	-0.548357	0.254844
-5.25e-08	-0.963294	-0.550133	0.244862
-5.22e-08	-0.966272	-0.551838	0.234854
-5.19e-08	-0.969126	-0.553471	0.224822
-5.16e-08	-0.971856	-0.555034	0.214766
-5.13e-08	-0.974462	-0.556525	0.204687
-5.1e-08	-0.976942	-0.557945	0.194587
-5.07e-08	-0.979297	-0.559293	0.184466
-5.04e-08	-0.981527	-0.560569	0.174325
-5.01e-08	-0.98363	-0.561773	0.164166
-4.98e-08	-0.985608	-0.562905	0.15399
-4.95e-08	-0.987459	-0.563965	0.143797
-4.92e-08	-0.989183	-0.564952	0.13359
-4.89e-08	-0.990781	-0.565866	0.123368
-4.86e-08	-0.992252	-0.566708	0.113133
-4.83e-08	-0.993595	-0.567477	0.102886
-4.8e-08	-0.994811	-0.568173	0.0926286
-4.77e-08	-0.995899	-0.568796	0.0823612
-4.74e-08	-0.99686	-0.569346	0.0720851
-4.71e-08	-0.997693	-0.569823	0.0618013
-4.68e-08	-0.998397	-0.570226	0.0515111
-4.65e-08	-0.998974	-0.570556	0.0412154
-4.62e-08	-0.999423	-0.570813	0.0309154
-4.59e-08	-0.999744	-0.570997	0.020612
-4.56e-08	-0.999936	-0.571107	0.0103066
-4.53e-08	-1	-0.571143	9.35868e-16
-4.5e-08	-0.999936	-0.571107	-0.0103066
-4.47e-08	-0.999744	-0.570997	-0.020612
-4.44e-08	-0.999423	-0.570813	-0.0309154
-4.41e-08	-0.998974	-0.570556	-0.0412154
-4.38e-08	-0.998397	-0.570226	-0.0515111
-4.35e-08	-0.997693	-0.569823	-0.0618013
-4.32e-08	-0.99686	-0.569346	-0.0720851
-4.29e-08	-0.995899	-0.568796	-0.0823612
-4.26e-08	-0.994811	-0.568173	-0.0926286
-4.23e-08	-0.993595	-0.567477	-0.102886
-4.2e-08	-0.992252	-0.566708	-0.113133
-4.17e-08	-0.990781	-0.565866	-0.123368
-4.14e-08	-0.989183	-0.564952	-0.13359
-4.11e-08	-0.987459	-0.563965	-0.143797
-4.08e-08	-0.985608	-0.562905	-0.15399
-4.05e-08	-0.98363	-0.561773	-0.164166
-4.02e-08	-0.981527	-0.560569	-0.174325
-3.99e-08	-0.979297	-0.559293	-0.184466
-3.96e-08	-0.976942	-0.557945	-0.194587
